Model,Accuracy,Malicious Recall,FPR,ROC-AUC,F1-Macro
logistic_regression,0.9618189855232623,0.9010812273097291,0.03436849081287933,0.9871869488252396,0.7902842828319425
random_forest,0.9599403248977788,0.6232263141056127,0.028214353339498736,0.9824376607624311,0.7897217977972909
distilbert_head,0.9792794783954029,0.8797426449243586,0.018935807610401836,0.9926598316954961,0.9229497503765849
